problem_id,year_seed,base_year,seed,majority_voted_answer_by_index,answer_frequencies,ground_truth_answer,tie_in_frequency,self_consistent_score
2024-II-4,2024_s1,2024,s1,33,{'33': 5},33,False,1.0
2024-II-12,2024_s1,2024,s1,23,{'23': 5},23,False,1.0
2024-I-4,2024_s1,2024,s1,116,{'116': 5},116,False,1.0
2024-I-3,2024_s1,2024,s1,809,{'809': 5},809,False,1.0
2024-I-8,2024_s1,2024,s1,273,"{'273': 1, '197': 1, '274': 1, '2929': 1, '35': 1}",197,True,0.2
2024-I-12,2024_s1,2024,s1,12,"{'12': 3, '24': 1, '16': 1}",385,False,0.0
2024-I-11,2024_s1,2024,s1,139,"{'139': 1, '265': 1, '141': 1, '43': 1, '9': 1}",371,True,0.0
2024-II-11,2024_s1,2024,s1,601,"{'401': 1, '601': 4}",601,False,1.0
2024-I-2,2024_s1,2024,s1,25,{'25': 5},25,False,1.0
2024-II-6,2024_s1,2024,s1,55,{'55': 5},55,False,1.0
2024-I-7,2024_s1,2024,s1,540,{'540': 5},540,False,1.0
2024-II-3,2024_s1,2024,s1,45,{'45': 5},45,False,1.0
2024-I-1,2024_s1,2024,s1,204,{'204': 5},204,False,1.0
2024-II-7,2024_s1,2024,s1,699,{'699': 5},699,False,1.0
2024-I-6,2024_s1,2024,s1,294,"{'294': 4, '364': 1}",294,False,1.0
2024-I-13,2024_s1,2024,s1,110,{'110': 5},110,False,1.0
2024-I-15,2024_s1,2024,s1,721,"{'5287': 1, '721': 4}",721,False,1.0
2024-II-15,2024_s1,2024,s1,30,"{'999': 1, '144': 1, '30': 2, '1260': 1}",315,False,0.0
2024-II-10,2024_s1,2024,s1,468,{'468': 5},468,False,1.0
2024-II-9,2024_s1,2024,s1,256,"{'256': 1, '312': 1, '961': 1, '900': 1, '1024': 1}",902,True,0.0
2024-II-14,2024_s1,2024,s1,211,"{'211': 2, '2': 1, '25': 1, '3601': 1}",211,False,1.0
2024-II-5,2024_s1,2024,s1,80,{'80': 5},80,False,1.0
2024-I-9,2024_s1,2024,s1,480,"{'480': 4, '80': 1}",480,False,1.0
2024-II-2,2024_s1,2024,s1,236,{'236': 5},236,False,1.0
2024-II-1,2024_s1,2024,s1,73,{'73': 5},73,False,1.0
2024-I-10,2024_s1,2024,s1,113,{'113': 5},113,False,1.0
2024-II-8,2024_s1,2024,s1,181,"{'181': 1, '86': 1, '127': 1, '7': 1, '009': 1}",127,True,0.2
2024-I-14,2024_s1,2024,s1,104,"{'104': 3, '299': 1, '166': 1}",104,False,1.0
2024-I-5,2024_s1,2024,s1,104,"{'104': 4, '92': 1}",104,False,1.0
2024-II-13,2024_s1,2024,s1,321,{'321': 5},321,False,1.0
0,2025_s1,2025,s1,468,{'468': 5},468,False,1.0
1,2025_s1,2025,s1,49,{'49': 5},49,False,1.0
2,2025_s1,2025,s1,6,"{'6': 2, '84': 1, '82': 2}",82,True,0.4
3,2025_s1,2025,s1,106,{'106': 5},106,False,1.0
4,2025_s1,2025,s1,342,"{'340': 1, '342': 2, '336': 2}",336,True,0.4
5,2025_s1,2025,s1,293,"{'293': 4, '67': 1}",293,False,1.0
6,2025_s1,2025,s1,237,"{'237': 4, '60671': 1}",237,False,1.0
7,2025_s1,2025,s1,610,"{'610': 2, '600': 1, '800': 1, '990': 1}",610,False,1.0
8,2025_s1,2025,s1,149,"{'149': 4, '150': 1}",149,False,1.0
9,2025_s1,2025,s1,907,"{'907': 4, '381': 1}",907,False,1.0
10,2025_s1,2025,s1,666,"{'666': 1, '394': 1, '1': 1, '2048': 1, '1430': 1}",113,True,0.0
11,2025_s1,2025,s1,19,{'19': 5},19,False,1.0
12,2025_s1,2025,s1,36,"{'36': 1, '500': 1, '208': 1, '489': 1, '931': 1}",248,True,0.0
13,2025_s1,2025,s1,104,"{'104': 4, '168': 1}",104,False,1.0
14,2025_s1,2025,s1,188,"{'98': 1, '188': 3, '244': 1}",240,False,0.0
15,2025_s1,2025,s1,468,{'468': 5},468,False,1.0
16,2025_s1,2025,s1,49,{'49': 5},49,False,1.0
17,2025_s1,2025,s1,60,"{'6': 1, '35': 1, '78': 1, '60': 2}",82,False,0.0
18,2025_s1,2025,s1,106,{'106': 5},106,False,1.0
19,2025_s1,2025,s1,336,"{'180': 1, '336': 3, '432': 1}",336,False,1.0
20,2025_s1,2025,s1,73,"{'73': 2, '389': 1, '293': 2}",293,True,0.4
21,2025_s1,2025,s1,237,"{'237': 2, '60671': 2, '5': 1}",237,True,0.4
22,2025_s1,2025,s1,610,{'610': 5},610,False,1.0
23,2025_s1,2025,s1,149,"{'150': 1, '149': 4}",149,False,1.0
24,2025_s1,2025,s1,907,"{'907': 3, '180': 1, '834': 1}",907,False,1.0
25,2025_s1,2025,s1,6,"{'6': 1, '27': 1, '1746147': 1, '21': 1, '11': 1}",113,True,0.0
26,2025_s1,2025,s1,19,"{'19': 4, '440': 1}",19,False,1.0
27,2025_s1,2025,s1,208,"{'208': 2, '1': 1, '821749775': 1, '6': 1}",248,False,0.0
28,2025_s1,2025,s1,104,"{'57': 1, '104': 3, '143': 1}",104,False,1.0
29,2025_s1,2025,s1,44,"{'44': 1, '281': 1, '216': 1, '296': 1, '243': 1}",240,True,0.0
